Symbol,Date,Close,Volume,Dayoff
SSI,2022-08-26,24800.0,23270000.0,No
STB,2022-08-26,25100.0,10740000.0,No
TCB,2022-08-26,39500.0,4350000.0,No
TPB,2022-08-26,28400.0,1360000.0,No
VCB,2022-08-26,82500.0,1560000.0,No
VHM,2022-08-26,60300.0,851200.0,No
VIB,2022-08-26,25400.0,1540000.0,No
VIC,2022-08-26,65000.0,861300.0,No
VJC,2022-08-26,123000.0,662500.0,No
VNM,2022-08-26,76900.0,2460000.0,No
VPB,2022-08-26,21066.0,22700000.0,No
VRE,2022-08-26,28850.0,954300.0,No
ACB,2022-08-27,24800.0,3880000.0,Yes
BID,2022-08-27,39400.0,2009999.0,Yes
BVH,2022-08-27,57000.0,1550000.0,Yes
CTG,2022-08-27,28450.0,3920000.0,Yes
FPT,2022-08-27,87200.0,1940000.0,Yes
GAS,2022-08-27,115200.0,491500.0,Yes
GVR,2022-08-27,25400.0,1740000.0,Yes
HDB,2022-08-27,21040.0,2600000.0,Yes
HPG,2022-08-27,23500.0,16469999.0,Yes
KDH,2022-08-27,38350.0,676700.0,Yes
MBB,2022-08-27,23600.0,10030000.0,Yes
MSN,2022-08-27,112200.0,359700.0,Yes
MWG,2022-08-27,72200.0,10850000.0,Yes
NVL,2022-08-27,83300.0,3060000.0,Yes
PDR,2022-08-27,56300.0,2900000.0,Yes
PLX,2022-08-27,43500.0,1930000.0,Yes
POW,2022-08-27,14250.0,25200000.0,Yes
SAB,2022-08-27,188000.0,91500.0,Yes
SSI,2022-08-27,24800.0,23270000.0,Yes
STB,2022-08-27,25100.0,10740000.0,Yes
TCB,2022-08-27,39500.0,4350000.0,Yes
TPB,2022-08-27,28400.0,1360000.0,Yes
VCB,2022-08-27,82500.0,1560000.0,Yes
VHM,2022-08-27,60300.0,851200.0,Yes
VIB,2022-08-27,25400.0,1540000.0,Yes
VIC,2022-08-27,65000.0,861300.0,Yes
VJC,2022-08-27,123000.0,662500.0,Yes
VNM,2022-08-27,76900.0,2460000.0,Yes
VPB,2022-08-27,21066.0,22700000.0,Yes
VRE,2022-08-27,28850.0,954300.0,Yes
ACB,2022-08-28,24800.0,3880000.0,Yes
BID,2022-08-28,39400.0,2009999.0,Yes
BVH,2022-08-28,57000.0,1550000.0,Yes
CTG,2022-08-28,28450.0,3920000.0,Yes
FPT,2022-08-28,87200.0,1940000.0,Yes
GAS,2022-08-28,115200.0,491500.0,Yes
GVR,2022-08-28,25400.0,1740000.0,Yes
HDB,2022-08-28,21040.0,2600000.0,Yes
HPG,2022-08-28,23500.0,16469999.0,Yes
KDH,2022-08-28,38350.0,676700.0,Yes
MBB,2022-08-28,23600.0,10030000.0,Yes
MSN,2022-08-28,112200.0,359700.0,Yes
MWG,2022-08-28,72200.0,10850000.0,Yes
NVL,2022-08-28,83300.0,3060000.0,Yes
PDR,2022-08-28,56300.0,2900000.0,Yes
PLX,2022-08-28,43500.0,1930000.0,Yes
POW,2022-08-28,14250.0,25200000.0,Yes
SAB,2022-08-28,188000.0,91500.0,Yes
SSI,2022-08-28,24800.0,23270000.0,Yes
STB,2022-08-28,25100.0,10740000.0,Yes
TCB,2022-08-28,39500.0,4350000.0,Yes
TPB,2022-08-28,28400.0,1360000.0,Yes
VCB,2022-08-28,82500.0,1560000.0,Yes
VHM,2022-08-28,60300.0,851200.0,Yes
VIB,2022-08-28,25400.0,1540000.0,Yes
VIC,2022-08-28,65000.0,861300.0,Yes
VJC,2022-08-28,123000.0,662500.0,Yes
VNM,2022-08-28,76900.0,2460000.0,Yes
VPB,2022-08-28,21066.0,22700000.0,Yes
VRE,2022-08-28,28850.0,954300.0,Yes
ACB,2022-08-29,24550.0,3220000.0,No
BID,2022-08-29,39000.0,1350000.0,No
BVH,2022-08-29,57300.0,1380000.0,No
CTG,2022-08-29,27900.0,4120000.0,No
FPT,2022-08-29,86500.0,2230000.0,No
GAS,2022-08-29,117500.0,669800.0,No
GVR,2022-08-29,24950.0,2560000.0,No
HDB,2022-08-29,20760.0,3520000.0,No
HPG,2022-08-29,23000.0,32470000.0,No
KDH,2022-08-29,37600.0,996400.0,No
