Date,Close,Volume,Symbol,Dayoff
2019-08-18,27552,4070000,BID,Yes
2019-08-18,77100,144210,BVH,Yes
2019-08-18,15659,4200000,CTG,Yes
2019-08-18,30958,7190000,FPT,Yes
2019-08-18,100900,373200,GAS,Yes
2019-08-18,15700,958720,GVR,Yes
2019-08-18,10240,4700000,HDB,Yes
2019-08-18,10545,18650000,HPG,Yes
2019-08-18,18523,471320,KDH,Yes
2019-08-18,11031,8520000,MBB,Yes
2019-08-18,77000,405510,MSN,Yes
2019-08-18,38232,4410000,MWG,Yes
2019-08-18,34380,734920,NVL,Yes
2019-08-18,16772,965300,PDR,Yes
2019-08-18,62400,399760,PLX,Yes
2019-08-18,12900,1050000,POW,Yes
2019-08-18,276000,78780,SAB,Yes
2019-08-18,11596,4210000,SSI,Yes
2019-08-18,10300,1930000,STB,Yes
2019-08-18,21900,6270000,TCB,Yes
2019-08-18,13610,221390,TPB,Yes
2019-08-18,59822,703310,VCB,Yes
2019-08-18,63538,766440,VHM,Yes
2019-08-18,10952,3370000,VIB,Yes
2019-08-18,108445,390800,VIC,Yes
2019-08-18,130500,636040,VJC,Yes
2019-08-18,98262,1290000,VNM,Yes
2019-08-18,7203,8970000,VPB,Yes
2019-08-18,35150,1350000,VRE,Yes
2019-08-19,10830,2460000,ACB,No
2019-08-19,28088,1420000,BID,No
2019-08-19,77700,42400,BVH,No
2019-08-19,15659,1620000,CTG,No
2019-08-19,31196,4520000,FPT,No
2019-08-19,100805,177900,GAS,No
2019-08-19,15600,556650,GVR,No
2019-08-19,10220,1610000,HDB,No
2019-08-19,10545,5350000,HPG,No
2019-08-19,18523,161930,KDH,No
2019-08-19,10858,5580000,MBB,No
2019-08-19,77100,291070,MSN,No
2019-08-19,38428,3440000,MWG,No
2019-08-19,34547,725730,NVL,No
2019-08-19,16997,1260000,PDR,No
2019-08-19,62600,150370,PLX,No
2019-08-19,12950,937260,POW,No
2019-08-19,276500,5550,SAB,No
2019-08-19,11570,1440000,SSI,No
2019-08-19,10250,1300000,STB,No
2019-08-19,21550,1940000,TCB,No
2019-08-19,13580,228450,TPB,No
2019-08-19,58977,883940,VCB,No
2019-08-19,64071,444570,VHM,No
2019-08-19,10833,1680000,VIB,No
2019-08-19,108356,238440,VIC,No
2019-08-19,130500,720980,VJC,No
2019-08-19,98895,909850,VNM,No
2019-08-19,7203,2830000,VPB,No
2019-08-19,35300,794450,VRE,No
2019-08-20,10929,2680000,ACB,No
2019-08-20,28164,1010000,BID,No
2019-08-20,77000,128690,BVH,No
2019-08-20,15735,2820000,CTG,No
2019-08-20,32148,3610000,FPT,No
2019-08-20,101993,315690,GAS,No
2019-08-20,16500,2110000,GVR,No
2019-08-20,10201,2570000,HDB,No
2019-08-20,10477,10090000,HPG,No
2019-08-20,18446,223940,KDH,No
2019-08-20,10908,5510000,MBB,No
2019-08-20,76200,258670,MSN,No
2019-08-20,39112,1620000,MWG,No
2019-08-20,35047,708260,NVL,No
2019-08-20,16901,1290000,PDR,No
2019-08-20,62500,689610,PLX,No
2019-08-20,12950,821310,POW,No
2019-08-20,276500,21680,SAB,No
2019-08-20,11518,2180000,SSI,No
2019-08-20,10300,1240000,STB,No
2019-08-20,21550,1340000,TCB,No
2019-08-20,13550,294850,TPB,No
2019-08-20,59054,579000,VCB,No
2019-08-20,65973,835020,VHM,No
2019-08-20,10833,1360000,VIB,No
2019-08-20,107556,232360,VIC,No
2019-08-20,130000,979530,VJC,No
2019-08-20,98500,944420,VNM,No
2019-08-20,7222,2190000,VPB,No
2019-08-20,35600,1960000,VRE,No
2019-08-21,10978,5670000,ACB,No
2019-08-21,28968,3380000,BID,No
2019-08-21,77800,85620,BVH,No
2019-08-21,15850,5940000,CTG,No
2019-08-21,31910,2870000,FPT,No
2019-08-21,104172,495360,GAS,No
2019-08-21,16200,1350000,GVR,No
2019-08-21,10278,3330000,HDB,No
2019-08-21,10614,10150000,HPG,No
2019-08-21,18562,636580,KDH,No
2019-08-21,11080,12490000,MBB,No
2019-08-21,77000,398000,MSN,No
2019-08-21,39210,2450000,MWG,No
2019-08-21,35047,789660,NVL,No
2019-08-21,16997,1260000,PDR,No
2019-08-21,62600,562620,PLX,No
2019-08-21,13300,2330000,POW,No
2019-08-21,277900,8310,SAB,No
2019-08-21,11727,3830000,SSI,No
2019-08-21,10250,2440000,STB,No
2019-08-21,21650,2060000,TCB,No
2019-08-21,13580,467610,TPB,No
2019-08-21,61434,2460000,VCB,No
2019-08-21,66430,712520,VHM,No
2019-08-21,10833,1430000,VIB,No
2019-08-21,108800,284420,VIC,No
2019-08-21,130900,853770,VJC,No
2019-08-21,98104,697030,VNM,No
2019-08-21,7314,5590000,VPB,No
2019-08-21,35900,2250000,VRE,No
2019-08-22,11175,3360000,ACB,No
2019-08-22,28776,2040000,BID,No
2019-08-22,78700,144600,BVH,No
2019-08-22,15735,2550000,CTG,No
2019-08-22,31553,3000000,FPT,No
2019-08-22,103578,284870,GAS,No
2019-08-22,16400,1070000,GVR,No
2019-08-22,10259,2360000,HDB,No
2019-08-22,10545,6980000,HPG,No
2019-08-22,18639,322190,KDH,No
2019-08-22,11105,9700000,MBB,No
2019-08-22,78000,398850,MSN,No
2019-08-22,38297,3110000,MWG,No
2019-08-22,34936,517200,NVL,No
2019-08-22,16997,1220000,PDR,No
2019-08-22,62600,125060,PLX,No
2019-08-22,13250,1290000,POW,No
2019-08-22,276000,18250,SAB,No
2019-08-22,11674,1670000,SSI,No
2019-08-22,10300,2730000,STB,No
2019-08-22,21650,1590000,TCB,No
2019-08-22,13610,247450,TPB,No
2019-08-22,61434,972430,VCB,No
2019-08-22,66886,494430,VHM,No
2019-08-22,10655,2040000,VIB,No
2019-08-22,112089,755970,VIC,No
2019-08-22,132200,1050000,VJC,No
2019-08-22,98183,630730,VNM,No
2019-08-22,7333,4130000,VPB,No
2019-08-22,35750,1200000,VRE,No
2019-08-23,11126,1660000,ACB,No
2019-08-23,28738,1230000,BID,No
2019-08-23,78500,91040,BVH,No
2019-08-23,15659,2420000,CTG,No
2019-08-23,32387,2960000,FPT,No
2019-08-23,102983,293260,GAS,No
2019-08-23,16100,855980,GVR,No
2019-08-23,10240,2300000,HDB,No
2019-08-23,10705,11340000,HPG,No
2019-08-23,18639,376910,KDH,No
2019-08-23,11154,5830000,MBB,No
2019-08-23,77000,134130,MSN,No
2019-08-23,37971,3100000,MWG,No
2019-08-23,34491,821290,NVL,No
2019-08-23,16901,1090000,PDR,No
2019-08-23,62000,192970,PLX,No
2019-08-23,13200,924650,POW,No
2019-08-23,275600,35980,SAB,No
2019-08-23,11622,1470000,SSI,No
2019-08-23,10700,6010000,STB,No
2019-08-23,21650,1300000,TCB,No
2019-08-23,13701,228000,TPB,No
2019-08-23,60820,576110,VCB,No
2019-08-23,66201,757350,VHM,No
2019-08-23,10655,1130000,VIB,No
2019-08-23,111111,577410,VIC,No
2019-08-23,134000,1710000,VJC,No
2019-08-23,97391,746200,VNM,No
2019-08-23,7333,4270000,VPB,No
2019-08-23,35050,2330000,VRE,No
2019-08-24,11126,1660000,ACB,Yes
2019-08-24,28738,1230000,BID,Yes
2019-08-24,78500,91040,BVH,Yes
2019-08-24,15659,2420000,CTG,Yes
2019-08-24,32387,2960000,FPT,Yes
2019-08-24,102983,293260,GAS,Yes
2019-08-24,16100,855980,GVR,Yes
2019-08-24,10240,2300000,HDB,Yes
2019-08-24,10705,11340000,HPG,Yes
2019-08-24,18639,376910,KDH,Yes
2019-08-24,11154,5830000,MBB,Yes
2019-08-24,77000,134130,MSN,Yes
2019-08-24,37971,3100000,MWG,Yes
2019-08-24,34491,821290,NVL,Yes
2019-08-24,16901,1090000,PDR,Yes
2019-08-24,62000,192970,PLX,Yes
2019-08-24,13200,924650,POW,Yes
2019-08-24,275600,35980,SAB,Yes
2019-08-24,11622,1470000,SSI,Yes
2019-08-24,10700,6010000,STB,Yes
2019-08-24,21650,1300000,TCB,Yes
2019-08-24,13701,228000,TPB,Yes
2019-08-24,60820,576110,VCB,Yes
2019-08-24,66201,757350,VHM,Yes
2019-08-24,10655,1130000,VIB,Yes
2019-08-24,111111,577410,VIC,Yes
2019-08-24,134000,1710000,VJC,Yes
2019-08-24,97391,746200,VNM,Yes
2019-08-24,7333,4270000,VPB,Yes
2019-08-24,35050,2330000,VRE,Yes
2019-08-25,11126,1660000,ACB,Yes
2019-08-25,28738,1230000,BID,Yes
2019-08-25,78500,91040,BVH,Yes
2019-08-25,15659,2420000,CTG,Yes
2019-08-25,32387,2960000,FPT,Yes
2019-08-25,102983,293260,GAS,Yes
2019-08-25,16100,855980,GVR,Yes
2019-08-25,10240,2300000,HDB,Yes
2019-08-25,10705,11340000,HPG,Yes
2019-08-25,18639,376910,KDH,Yes
2019-08-25,11154,5830000,MBB,Yes
2019-08-25,77000,134130,MSN,Yes
2019-08-25,37971,3100000,MWG,Yes
2019-08-25,34491,821290,NVL,Yes
2019-08-25,16901,1090000,PDR,Yes
2019-08-25,62000,192970,PLX,Yes
2019-08-25,13200,924650,POW,Yes
2019-08-25,275600,35980,SAB,Yes
2019-08-25,11622,1470000,SSI,Yes
2019-08-25,10700,6010000,STB,Yes
2019-08-25,21650,1300000,TCB,Yes
2019-08-25,13701,228000,TPB,Yes
2019-08-25,60820,576110,VCB,Yes
2019-08-25,66201,757350,VHM,Yes
2019-08-25,10655,1130000,VIB,Yes
2019-08-25,111111,577410,VIC,Yes
2019-08-25,134000,1710000,VJC,Yes
2019-08-25,97391,746200,VNM,Yes
2019-08-25,7333,4270000,VPB,Yes
2019-08-25,35050,2330000,VRE,Yes
2019-08-26,11076,2060000,ACB,No
2019-08-26,28968,2270000,BID,No
2019-08-26,77800,85800,BVH,No
2019-08-26,15506,4440000,CTG,No
2019-08-26,31970,2790000,FPT,No
2019-08-26,100508,518030,GAS,No
2019-08-26,16100,1230000,GVR,No
2019-08-26,10201,3290000,HDB,No
2019-08-26,10431,11960000,HPG,No
2019-08-26,18601,171950,KDH,No
2019-08-26,11474,29810000,MBB,No
2019-08-26,76000,408280,MSN,No
2019-08-26,37939,3110000,MWG,No
2019-08-26,34491,1260000,NVL,No
2019-08-26,16804,1350000,PDR,No
2019-08-26,60800,594700,PLX,No
2019-08-26,12900,1080000,POW,No
2019-08-26,271844,50520,SAB,No
2019-08-26,11258,2890000,SSI,No
2019-08-26,10550,3640000,STB,No
2019-08-26,21250,3280000,TCB,No
2019-08-26,13671,87440,TPB,No
2019-08-26,59745,857750,VCB,No
2019-08-26,65364,487880,VHM,No
2019-08-26,10476,977240,VIB,No
2019-08-26,110933,400420,VIC,No
2019-08-26,132000,398470,VJC,No
2019-08-26,95412,1010000,VNM,No
2019-08-26,7444,9670000,VPB,No
2019-08-26,34900,1280000,VRE,No
2019-08-27,11076,2060000,ACB,No
2019-08-27,28700,1470000,BID,No
2019-08-27,77000,107890,BVH,No
2019-08-27,15506,2520000,CTG,No
2019-08-27,31434,2490000,FPT,No
2019-08-27,100904,150750,GAS,No
2019-08-27,15900,1490000,GVR,No
2019-08-27,10278,6250000,HDB,No
2019-08-27,10248,18940000,HPG,No
2019-08-27,18523,220470,KDH,No
2019-08-27,11474,23180000,MBB,No
2019-08-27,75000,363230,MSN,No
2019-08-27,37157,5680000,MWG,No
2019-08-27,33768,1510000,NVL,No
2019-08-27,16804,1270000,PDR,No
2019-08-27,61200,569790,PLX,No
2019-08-27,13150,1380000,POW,No
2019-08-27,268562,58130,SAB,No
2019-08-27,11153,2120000,SSI,No
2019-08-27,10450,3930000,STB,No
2019-08-27,21450,1810000,TCB,No
2019-08-27,13732,335940,TPB,No
2019-08-27,58746,1420000,VCB,No
2019-08-27,65897,1130000,VHM,No
2019-08-27,10655,1170000,VIB,No
2019-08-27,108889,446920,VIC,No
2019-08-27,132600,485470,VJC,No
2019-08-27,94224,1130000,VNM,No
2019-08-27,7555,8470000,VPB,No
2019-08-27,34500,1290000,VRE,No
2019-08-28,10929,1040000,ACB,No
2019-08-28,28776,1170000,BID,No
2019-08-28,77200,89400,BVH,No
2019-08-28,15468,1180000,CTG,No
2019-08-28,31017,2440000,FPT,No
2019-08-28,101300,106940,GAS,No
2019-08-28,15900,559430,GVR,No
2019-08-28,10240,1860000,HDB,No
2019-08-28,10179,9130000,HPG,No
2019-08-28,18523,168070,KDH,No
2019-08-28,11498,9670000,MBB,No
2019-08-28,74800,267990,MSN,No
2019-08-28,37091,1790000,MWG,No
2019-08-28,34435,1400000,NVL,No
2019-08-28,16869,652500,PDR,No
2019-08-28,61000,279140,PLX,No
2019-08-28,12900,730320,POW,No
2019-08-28,270452,3430,SAB,No
2019-08-28,11127,832080,SSI,No
2019-08-28,10350,2130000,STB,No
2019-08-28,21400,736990,TCB,No
2019-08-28,13792,197470,TPB,No
2019-08-28,59130,751320,VCB,No
2019-08-28,66049,386630,VHM,No
2019-08-28,10476,989840,VIB,No
2019-08-28,108445,273070,VIC,No
2019-08-28,132400,390240,VJC,No
2019-08-28,94541,626040,VNM,No
2019-08-28,7518,2520000,VPB,No
2019-08-28,34700,783780,VRE,No
2019-08-29,10880,1290000,ACB,No
2019-08-29,29006,1670000,BID,No
2019-08-29,76000,166240,BVH,No
2019-08-29,15429,1250000,CTG,No
2019-08-29,31374,1540000,FPT,No
2019-08-29,100500,205170,GAS,No
2019-08-29,15400,1190000,GVR,No
2019-08-29,10181,5950000,HDB,No
2019-08-29,10134,10410000,HPG,No
2019-08-29,18523,102780,KDH,No
2019-08-29,11498,9830000,MBB,No
2019-08-29,75000,194630,MSN,No
2019-08-29,37482,1020000,MWG,No
2019-08-29,34435,1240000,NVL,No
2019-08-29,16933,906000,PDR,No
2019-08-29,61000,401390,PLX,No
2019-08-29,12800,744490,POW,No
2019-08-29,271446,36440,SAB,No
2019-08-29,11023,1390000,SSI,No
2019-08-29,10350,1730000,STB,No
2019-08-29,21350,948710,TCB,No
2019-08-29,13944,722020,TPB,No
2019-08-29,58977,538780,VCB,No
2019-08-29,66049,447940,VHM,No
2019-08-29,10417,502420,VIB,No
2019-08-29,108889,394270,VIC,No
2019-08-29,132000,379870,VJC,No
2019-08-29,97391,673840,VNM,No
2019-08-29,7555,2810000,VPB,No
2019-08-29,34350,1250000,VRE,No
2019-08-30,10929,1110000,ACB,No
2019-08-30,29657,2750000,BID,No
2019-08-30,76000,64769,BVH,No
2019-08-30,15429,1860000,CTG,No
2019-08-30,31613,1120000,FPT,No
2019-08-30,100600,176460,GAS,No
2019-08-30,15000,1950000,GVR,No
2019-08-30,10084,2650000,HDB,No
2019-08-30,10156,7010000,HPG,No
2019-08-30,18562,161810,KDH,No
2019-08-30,11375,8090000,MBB,No
2019-08-30,75400,181410,MSN,No
2019-08-30,38102,1940000,MWG,No
2019-08-30,34658,927100,NVL,No
2019-08-30,17029,1610000,PDR,No
2019-08-30,61500,266590,PLX,No
2019-08-30,12900,309500,POW,No
2019-08-30,271446,27590,SAB,No
2019-08-30,11205,1210000,SSI,No
2019-08-30,10400,1450000,STB,No
2019-08-30,21500,1240000,TCB,No
2019-08-30,14095,999370,TPB,No
2019-08-30,59668,357450,VCB,No
2019-08-30,66810,567090,VHM,No
2019-08-30,10417,476630,VIB,No
2019-08-30,109778,248300,VIC,No
2019-08-30,132000,386150,VJC,No
2019-08-30,97391,956510,VNM,No
2019-08-30,7518,3040000,VPB,No
2019-08-30,34450,2370000,VRE,No
2019-08-31,10929,1110000,ACB,Yes
2019-08-31,29657,2750000,BID,Yes
2019-08-31,76000,64769,BVH,Yes
2019-08-31,15429,1860000,CTG,Yes
2019-08-31,31613,1120000,FPT,Yes
2019-08-31,100600,176460,GAS,Yes
2019-08-31,15000,1950000,GVR,Yes
2019-08-31,10084,2650000,HDB,Yes
2019-08-31,10156,7010000,HPG,Yes
2019-08-31,18562,161810,KDH,Yes
2019-08-31,11375,8090000,MBB,Yes
2019-08-31,75400,181410,MSN,Yes
2019-08-31,38102,1940000,MWG,Yes
2019-08-31,34658,927100,NVL,Yes
2019-08-31,17029,1610000,PDR,Yes
2019-08-31,61500,266590,PLX,Yes
2019-08-31,12900,309500,POW,Yes
2019-08-31,271446,27590,SAB,Yes
2019-08-31,11205,1210000,SSI,Yes
2019-08-31,10400,1450000,STB,Yes
2019-08-31,21500,1240000,TCB,Yes
2019-08-31,14095,999370,TPB,Yes
2019-08-31,59668,357450,VCB,Yes
2019-08-31,66810,567090,VHM,Yes
2019-08-31,10417,476630,VIB,Yes
2019-08-31,109778,248300,VIC,Yes
2019-08-31,132000,386150,VJC,Yes
2019-08-31,97391,956510,VNM,Yes
2019-08-31,7518,3040000,VPB,Yes
2019-08-31,34450,2370000,VRE,Yes
2019-09-01,10929,1110000,ACB,Yes
2019-09-01,29657,2750000,BID,Yes
2019-09-01,76000,64769,BVH,Yes
2019-09-01,15429,1860000,CTG,Yes
2019-09-01,31613,1120000,FPT,Yes
2019-09-01,100600,176460,GAS,Yes
2019-09-01,15000,1950000,GVR,Yes
2019-09-01,10084,2650000,HDB,Yes
2019-09-01,10156,7010000,HPG,Yes
2019-09-01,18562,161810,KDH,Yes
2019-09-01,11375,8090000,MBB,Yes
2019-09-01,75400,181410,MSN,Yes
2019-09-01,38102,1940000,MWG,Yes
2019-09-01,34658,927100,NVL,Yes
2019-09-01,17029,1610000,PDR,Yes
2019-09-01,61500,266590,PLX,Yes
2019-09-01,12900,309500,POW,Yes
2019-09-01,271446,27590,SAB,Yes
2019-09-01,11205,1210000,SSI,Yes
2019-09-01,10400,1450000,STB,Yes
2019-09-01,21500,1240000,TCB,Yes
2019-09-01,14095,999370,TPB,Yes
2019-09-01,59668,357450,VCB,Yes
2019-09-01,66810,567090,VHM,Yes
2019-09-01,10417,476630,VIB,Yes
2019-09-01,109778,248300,VIC,Yes
